order,grid_x,grid_y,x_km,y_km,segment_dist_km,cum_dist_km,eta_hour_from_start
143,19,30,-7.809330072409234,-6.324090381543273,0.2708383553833702,55.27632982499814,4.9744717265117115
144,18,30,-8.080168427792604,-6.324090381543273,0.2708383553833693,55.54716818038151,4.998845228616046
145,17,30,-8.351006783175974,-6.324090381543273,0.2708383553833702,55.81800653576488,5.023218730720381
146,16,30,-8.621845138559344,-6.324090381543273,0.2708383553833702,56.08884489114825,5.047592232824716
147,15,30,-8.892683493942714,-6.324090381543273,0.2708383553833702,56.35968324653162,5.071965734929051
148,14,29,-9.163521849326084,-6.701220376178094,0.46430641563522324,56.82398966216684,5.113749969597447
149,13,29,-9.434360204709455,-6.701220376178094,0.2708383553833702,57.094828017550206,5.138123471701782
150,12,29,-9.705198560092825,-6.701220376178094,0.2708383553833702,57.365666372933575,5.162496973806117
151,11,29,-9.976036915476193,-6.701220376178094,0.2708383553833684,57.63650472831694,5.186870475910451
152,10,29,-10.246875270859565,-6.701220376178094,0.270838355383372,57.90734308370031,5.211243978014786
153,9,28,-10.517713626242934,-7.078350370812917,0.4643064156352236,58.37164949933553,5.253028212683183
154,8,27,-10.788551981626304,-7.4554803654477375,0.46430641563522324,58.835955914970754,5.294812447351579
155,7,27,-11.059390337009674,-7.4554803654477375,0.2708383553833702,59.10679427035412,5.319185949455914
156,6,27,-11.330228692393044,-7.4554803654477375,0.2708383553833702,59.37763262573749,5.343559451560249
157,5,28,-11.601067047776414,-7.078350370812917,0.46430641563522324,59.84193904137271,5.385343686228645
158,5,29,-11.601067047776414,-6.701220376178094,0.37712999463482255,60.21906903600753,5.419282670627028
159,6,28,-11.330228692393044,-7.078350370812917,0.4643064156352247,60.68337545164276,5.461066905295424
160,7,29,-11.059390337009674,-6.701220376178094,0.4643064156352247,61.14768186727799,5.502851139963821
161,8,29,-10.788551981626304,-6.701220376178094,0.2708383553833702,61.41852022266136,5.5272246420681554
162,8,30,-10.788551981626304,-6.324090381543273,0.3771299946348208,61.79565021729618,5.561163626466538
163,7,30,-11.059390337009674,-6.324090381543273,0.2708383553833702,62.066488572679546,5.585537128570873
164,6,31,-11.330228692393044,-5.946960386908451,0.4643064156352247,62.530794988314774,5.627321363239269
165,6,32,-11.330228692393044,-5.56983039227363,0.3771299946348208,62.907924982949595,5.6612603476376515
166,5,31,-11.601067047776414,-5.946960386908451,0.46430641563522324,63.372231398584816,5.703044582306048
167,4,30,-11.871905403159785,-6.324090381543273,0.4643064156352247,63.836537814220044,5.744828816974445
168,4,29,-11.871905403159785,-6.701220376178094,0.3771299946348208,64.21366780885486,5.778767801372827
169,4,28,-11.871905403159785,-7.078350370812917,0.37712999463482255,64.59079780348969,5.812706785771209
170,4,27,-11.871905403159785,-7.4554803654477375,0.3771299946348208,64.96792779812452,5.846645770169592
171,5,26,-11.601067047776414,-7.832610360082558,0.46430641563522324,65.43223421375974,5.888430004837988
172,6,26,-11.330228692393044,-7.832610360082558,0.2708383553833702,65.70307256914312,5.912803506942323
173,7,26,-11.059390337009674,-7.832610360082558,0.2708383553833702,65.97391092452649,5.937177009046658
174,8,26,-10.788551981626304,-7.832610360082558,0.2708383553833702,66.24474927990987,5.9615505111509925
175,9,27,-10.517713626242934,-7.4554803654477375,0.46430641563522324,66.70905569554509,6.003334745819389
176,10,28,-10.246875270859565,-7.078350370812917,0.46430641563522224,67.17336211118031,6.045118980487786
177,9,29,-10.517713626242934,-6.701220376178094,0.4643064156352236,67.63766852681553,6.086903215156182
178,8,30,-10.788551981626304,-6.324090381543273,0.46430641563522324,68.10197494245075,6.128687449824579
179,7,31,-11.059390337009674,-5.946960386908451,0.4643064156352247,68.56628135808597,6.170471684492975
180,6,32,-11.330228692393044,-5.56983039227363,0.46430641563522324,69.0305877737212,6.212255919161372
181,5,32,-11.601067047776414,-5.56983039227363,0.2708383553833702,69.30142612910457,6.2366294212657065
182,4,32,-11.871905403159785,-5.56983039227363,0.2708383553833702,69.57226448448795,6.261002923370041
183,4,31,-11.871905403159785,-5.946960386908451,0.3771299946348208,69.94939447912276,6.294941907768424
184,5,32,-11.601067047776414,-5.56983039227363,0.46430641563522324,70.41370089475798,6.33672614243682
185,6,32,-11.330228692393044,-5.56983039227363,0.2708383553833702,70.68453925014136,6.361099644541155
186,7,32,-11.059390337009674,-5.56983039227363,0.2708383553833702,70.95537760552473,6.38547314664549
187,8,31,-10.788551981626304,-5.946960386908451,0.46430641563522324,71.41968402115995,6.427257381313886
188,9,30,-10.517713626242934,-6.324090381543273,0.4643064156352247,71.88399043679517,6.469041615982283
189,10,29,-10.246875270859565,-6.701220376178094,0.46430641563522224,72.3482968524304,6.510825850650679
190,10,28,-10.246875270859565,-7.078350370812917,0.37712999463482255,72.72542684706522,6.544764835049062
191,10,27,-10.246875270859565,-7.4554803654477375,0.3771299946348208,73.10255684170005,6.578703819447444
192,10,26,-10.246875270859565,-7.832610360082558,0.3771299946348208,73.47968683633488,6.6126428038458265
193,9,27,-10.517713626242934,-7.4554803654477375,0.46430641563522224,73.9439932519701,6.654427038514223
194,8,28,-10.788551981626304,-7.078350370812917,0.46430641563522324,74.40829966760532,6.6962112731826195
195,7,27,-11.059390337009674,-7.4554803654477375,0.46430641563522324,74.87260608324054,6.737995507851016
196,6,27,-11.330228692393044,-7.4554803654477375,0.2708383553833702,75.14344443862392,6.762369009955351
197,5,27,-11.601067047776414,-7.4554803654477375,0.2708383553833702,75.41428279400729,6.786742512059686
198,4,26,-11.871905403159785,-7.832610360082558,0.46430641563522324,75.87858920964251,6.828526746728082
199,3,25,-12.142743758543155,-8.20974035471738,0.4643064156352247,76.34289562527773,6.870310981396479
200,3,24,-12.142743758543155,-8.586870349352202,0.3771299946348208,76.72002561991255,6.904249965794861
201,3,23,-12.142743758543155,-8.964000343987024,0.37712999463482255,77.09715561454738,6.938188950193243
202,3,22,-12.142743758543155,-9.341130338621845,0.3771299946348208,77.4742856091822,6.972127934591626
203,3,21,-12.142743758543155,-9.718260333256667,0.37712999463482255,77.85141560381703,7.006066918990008
204,3,20,-12.142743758543155,-10.095390327891488,0.3771299946348208,78.22854559845186,7.040005903388391
205,4,19,-11.871905403159785,-10.47252032252631,0.4643064156352247,78.69285201408708,7.081790138056787
206,4,18,-11.871905403159785,-10.849650317161132,0.3771299946348208,79.0699820087219,7.1157291224551695
207,4,17,-11.871905403159785,-11.226780311795952,0.3771299946348208,79.44711200335672,7.149668106853552
208,4,16,-11.871905403159785,-11.603910306430775,0.37712999463482255,79.82424199799155,7.183607091251934
209,4,15,-11.871905403159785,-11.981040301065596,0.3771299946348208,80.20137199262638,7.217546075650317
210,4,14,-11.871905403159785,-12.358170295700418,0.37712999463482255,80.5785019872612,7.251485060048699
211,4,13,-11.871905403159785,-12.735300290335239,0.3771299946348208,80.95563198189603,7.2854240444470815
212,4,12,-11.871905403159785,-13.11243028497006,0.3771299946348208,81.33276197653086,7.319363028845464
213,5,11,-11.601067047776414,-13.489560279604882,0.4643064156352247,81.79706839216608,7.36114726351386
214,5,10,-11.601067047776414,-13.866690274239705,0.37712999463482255,82.17419838680091,7.395086247912243
215,5,9,-11.601067047776414,-14.243820268874526,0.3771299946348208,82.55132838143572,7.429025232310625
216,5,8,-11.601067047776414,-14.620950263509346,0.3771299946348208,82.92845837607055,7.462964216709008
217,5,7,-11.601067047776414,-14.998080258144169,0.37712999463482255,83.30558837070538,7.49690320110739
218,5,6,-11.601067047776414,-15.37521025277899,0.3771299946348208,83.68271836534021,7.530842185505772
219,5,5,-11.601067047776414,-15.752340247413812,0.37712999463482255,84.05984835997504,7.564781169904155
220,5,4,-11.601067047776414,-16.129470242048633,0.3771299946348208,84.43697835460986,7.598720154302537
